1.119152896, Sport: ,Tennis, Time: ,Sun Jun 14 11:30:00 CEST 2015, Time: ,Sun Jun 14 11:30:00 CEST 2015, Event: ,Na Cavaday v Doi, Favorite: ,Misaki Doi, 4729711   size:3.53,Price: ,1.16,Naomi Cavaday, 2443818   size:7.54,Price: ,5.6,ok
1.119152880, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,Kudryavtseva v Erakovic, Favorite: ,Marina Erakovic, 2250859   size:470.65,Price: ,1.08,Alla Kudryavtseva, 2263696   size:21.3,Price: ,11.5,ok
1.119158745, Sport: ,Tennis, Time: ,Sun Jun 14 12:00:00 CEST 2015, Time: ,Sun Jun 14 12:00:00 CEST 2015, Event: ,Bolelli v Roger-Vasselin, Favorite: ,Simone Bolelli, 2309797   size:9.95,Price: ,1.55,Edouard Roger-Vasselin, 8259187   size:110.98,Price: ,2.6,ok
1.119159603, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,Munoz-De La Nava v Albot, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:13.55,Price: ,1.6,Radu Albot, 6603898   size:5.77,Price: ,2.4,ok
1.119160603, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,J Nieminen v T Ito, Favorite: ,Jarkko Nieminen, 2257304   size:13.81,Price: ,1.6,Tatsuma Ito, 3374118   size:2.55,Price: ,2.42,ok
1.119159828, Sport: ,Tennis, Time: ,Sun Jun 14 13:45:00 CEST 2015, Time: ,Sun Jun 14 13:45:00 CEST 2015, Event: ,J Donaldson v Kamke, Favorite: ,Tobias Kamke, 2581407   size:6.66,Price: ,1.71,Jared Donaldson, 7413423   size:8.71,Price: ,2.18,x
1.119160599, Sport: ,Tennis, Time: ,Sun Jun 14 13:45:00 CEST 2015, Time: ,Sun Jun 14 13:45:00 CEST 2015, Event: ,Beretta v Collarini, Favorite: ,Andrea Collarini, 8284716   size:103.24,Price: ,1.02,ok
1.119161123, Sport: ,Tennis, Time: ,Sun Jun 14 12:00:00 CEST 2015, Time: ,Sun Jun 14 12:00:00 CEST 2015, Event: ,Giorgi v Bencic, Favorite: ,Belinda Bencic, 6390244   size:144.88,Price: ,1.83,Camila Giorgi, 5619012   size:162.19,Price: ,2.18,x
1.119161376, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,Brands v Jor Thompson, Favorite: ,Daniel Brands, 2395076   size:15.26,Price: ,1.41,Jordan Thompson, 8145584   size:2.55,Price: ,2.92,x
1.119152918, Sport: ,Tennis, Time: ,Sun Jun 14 11:30:00 CEST 2015, Time: ,Sun Jun 14 11:30:00 CEST 2015, Event: ,Min v Wickmayer, Favorite: ,Yanina Wickmayer, 2386943   size:2.55,Price: ,1.29,Grace Min, 6280340   size:2.55,Price: ,4.1,ok
1.119161263, Sport: ,Tennis, Time: ,Sun Jun 14 13:45:00 CEST 2015, Time: ,Sun Jun 14 13:45:00 CEST 2015, Event: ,Lacko v J Melzer, Favorite: ,Jurgen Melzer, 2256472   size:6.8,Price: ,1.66,Lukas Lacko, 2263634   size:6.13,Price: ,2.32,x
1.119152902, Sport: ,Tennis, Time: ,Sun Jun 14 11:30:00 CEST 2015, Time: ,Sun Jun 14 11:30:00 CEST 2015, Event: ,Maria v Tatishvili, Favorite: ,Tatjana Maria, 7299657   size:939.44,Price: ,1.23,Anna Tatishvili, 2311979   size:188.5,Price: ,5.2,ok
1.119161380, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,S Zheng v Koukalova, Favorite: ,Klara Koukalova, 8445700   size:110.97,Price: ,1.66,Saisai Zheng, 5829453   size:2.72,Price: ,2.3,ok
1.118748883, Sport: ,Cricket, Time: ,Sun Jun 14 11:30:00 CEST 2015, Time: ,Sun Jun 14 11:30:00 CEST 2015, Event: ,England v New Zealand (3rd ODI), Favorite: ,New Zealand, 448   size:3287.23,Price: ,1.72,England, 10301   size:434.84,Price: ,2.36,ok
1.119152886, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,Schiavone v Kulichkova, Favorite: ,Francesca Schiavone, 2256500   size:89.48,Price: ,1.91,Elizaveta Kulichkova, 7795296   size:27.08,Price: ,2.02,x
1.119155119, Sport: ,Tennis, Time: ,Sun Jun 14 11:30:00 CEST 2015, Time: ,Sun Jun 14 11:30:00 CEST 2015, Event: ,S Rogers v K Bondarenko, Favorite: ,Kateryna Bondarenko, 2291864   size:8.32,Price: ,1.5,Shelby Rogers, 4943786   size:2.55,Price: ,2.68,x
1.119159663, Sport: ,Tennis, Time: ,Sun Jun 14 12:00:00 CEST 2015, Time: ,Sun Jun 14 12:00:00 CEST 2015, Event: ,V Pospisil v Berankis, Favorite: ,Vasek Pospisil, 4903598   size:3.81,Price: ,1.31,Ricardas Berankis, 2923248   size:75.44,Price: ,3.9,x
1.119152876, Sport: ,Tennis, Time: ,Sun Jun 14 13:00:00 CEST 2015, Time: ,Sun Jun 14 13:00:00 CEST 2015, Event: ,Flipkens v Dart, Favorite: ,Kirsten Flipkens, 2264530   size:487.96,Price: ,1.12,Harriet Dart, 8595916   size:69.22,Price: ,6.0,ok
1.119159622, Sport: ,Tennis, Time: ,Sun Jun 14 12:00:00 CEST 2015, Time: ,Sun Jun 14 12:00:00 CEST 2015, Event: ,Giustino v Vagnozzi, Favorite: ,Lorenzo Giustino, 7534093   size:133.54,Price: ,1.07,Simone Vagnozzi, 3055074   size:116.85,Price: ,1.08,ok
